Estacion,Tipo,IDEstacion,IDNodo,hora,>C5,AL,AT,B,BA,BT,C,C2G,C2P,C3-C4,C5,ESP,INT,L,M,TOTAL
L_AK_68_AC_26,NOHAB,16,26213,0,0.5,0,0.125,1,0.125,3.9375,2.375,5.75,2.1875,1.25,0.375,6.375,1.875,460.5625,40.125,526.5625
L_AK_68_AC_26,NOHAB,16,26213,1,0.3125,0.0625,0,0.3125,0,0.5,0.4375,4.375,2,0.9375,0.125,5,1.0625,345.5,22.3125,382.9375
L_AK_68_AC_26,NOHAB,16,26213,2,0,0,0,0.0625,0,0.125,0.1875,3.625,1.875,0.875,0.125,4.625,0.8125,307.25,17.5625,337.125
L_AK_68_AC_26,NOHAB,16,26213,3,0.75,0,0,0.4375,0,0.75,0.5625,4.875,3.125,1.5,0.1875,5.6875,1.125,254.6875,22.0625,295.75
L_AK_68_AC_26,NOHAB,16,26213,4,0.625,0.125,0.1875,7.3125,0.375,10.625,4.875,9.4375,4.1875,1.4375,0.8125,7.75,7.875,279.9375,34.75,370.3125
L_AK_68_AC_26,NOHAB,16,26213,5,0.625,0.1875,2.125,36.625,3.625,27.75,31.6875,22.8125,13.625,4.875,0.5,16.125,22,544.6875,164.4375,891.6875
L_AK_68_AC_26,NOHAB,16,26213,6,0.75,0,4,46.875,5.4375,36.375,34.3125,29.375,19.375,3.5,0.3125,15.625,21.8125,1148.25,304.25,1670.25
L_AK_68_AC_26,NOHAB,16,26213,7,0.3125,0,3.9375,48.5,5.3125,37.1875,33.875,30.5,22.5625,2.4375,0.125,15,18.1875,1537.8125,369.5,2125.25
L_AK_68_AC_26,NOHAB,16,26213,8,1,0,4.6875,46.4375,5.4375,36.8125,34.25,37.6875,25.5625,2.8125,0.4375,14.8125,18.125,1648.75,299.5,2176.3125
L_AK_68_AC_26,NOHAB,16,26213,9,0.875,0,4.3125,45.875,5,40.5,33.3125,44.9375,22.875,3.8125,0.5625,13.0625,20.8125,1553.375,224.875,2014.1875
L_AK_68_AC_26,NOHAB,16,26213,10,0.8125,0,4.5,42.875,4.4375,36,32.875,42.0625,23.875,3.4375,0.625,14.5625,21.6875,1625.625,212.6875,2066.0625
L_AK_68_AC_26,NOHAB,16,26213,11,0.5625,0,3.5,38.75,5.0625,34.875,29.25,37.625,23.5625,5,0.625,13,20,1777.625,243.5625,2233
L_AK_68_AC_26,NOHAB,16,26213,12,0.375,0,4.5625,37.4375,5.1875,32.75,30.3125,39.125,23.25,4.0625,0.4375,14.1875,17.1875,1808.875,290.3125,2308.0625
L_AK_68_AC_26,NOHAB,16,26213,13,0.875,0,4.1875,38.125,6.125,30.6875,29.5625,35.9375,19.1875,2.5,0.1875,15,16.8125,1789.9375,310.6875,2299.8125
L_AK_68_AC_26,NOHAB,16,26213,14,0.6875,0,4.625,42.8125,6.0625,34.875,29.4375,32.5625,17.625,2.1875,0.6875,12.6875,24.75,1814.4375,302.125,2325.5625
L_AK_68_AC_26,NOHAB,16,26213,15,0.5625,0,4.5,39,6.25,31.8125,30.75,28,15.6875,1.6875,0.4375,14.75,23.3125,1620.625,241.9375,2059.3125
L_AK_68_AC_26,NOHAB,16,26213,16,1,0,4.9375,35.4375,5.9375,31.3125,29.1875,20.3125,14.5,1,0.75,11.5625,16.6875,1602.875,225.625,2001.125
L_AK_68_AC_26,NOHAB,16,26213,17,0.25,0,4.1875,34.4375,5.0625,30.0625,29.25,15.0625,9.5,1.5625,0.375,11.0625,21.5,1580.1875,249.3125,1991.8125
L_AK_68_AC_26,NOHAB,16,26213,18,0.25,0,4.125,30.75,4.875,27.75,26.1875,13.1875,7.5,0.875,0.5,10.9375,19.0625,1541,183.125,1870.125
L_AK_68_AC_26,NOHAB,16,26213,19,0,0,4.0625,25.9375,4.875,29.9375,25,13.625,4.5625,2.125,0.5625,12.1875,16.4375,1435.6875,147.875,1722.875
L_AK_68_AC_26,NOHAB,16,26213,20,0.125,0,4.1875,22.8125,5.3125,26.9375,21.5625,9.375,4.625,0.3125,0.25,10.875,14.125,1345.9375,128.25,1594.6875
L_AK_68_AC_26,NOHAB,16,26213,21,0.6875,0,3.8125,16.5,4.9375,27.5,17,8.1875,2.75,1,0.3125,10.375,12.875,1083.1875,116.6875,1305.8125
L_AK_68_AC_26,NOHAB,16,26213,22,0.375,0.125,6.4375,12.6875,6.1875,26.6875,18.375,8.9375,4.0625,1.125,0.375,15.25,9.75,1090.5,168.25,1369.125
L_AK_68_AC_26,NOHAB,16,26213,23,0.25,0.0625,1.875,6.8125,1.3125,17.5,9.0625,5.875,2.1875,1.1875,0.75,11.25,4.4375,732.5625,69.25,864.375
AK_68_AC_26,HABIL,16,26213,0,0.291666667,0,0,0.666666667,0.166666667,2.625,0.583333333,4.625,2.791666667,1.458333333,0.375,6.166666667,0.541666667,177.375,22.20833333,219.875
AK_68_AC_26,HABIL,16,26213,1,0.333333333,0,0.041666667,0.083333333,0,0.375,0.041666667,4.041666667,2.625,0.708333333,0.458333333,4.875,0.291666667,104.5,12,130.375
AK_68_AC_26,HABIL,16,26213,2,0.291666667,0,0,0.125,0,0.041666667,0.041666667,3.458333333,2.416666667,0.875,0.291666667,2.916666667,0.166666667,69.70833333,9.125,89.45833333
AK_68_AC_26,HABIL,16,26213,3,0.291666667,0,0,1.208333333,0,0.5,0.375,5.125,3.416666667,1.458333333,0.125,3.708333333,0.125,82.875,10.33333333,109.5416667
AK_68_AC_26,HABIL,16,26213,4,1.333333333,0,0.666666667,13,0.458333333,9.791666667,6.875,8.791666667,6.875,2.25,1.041666667,14.29166667,8.458333333,240.5,34.95833333,349.2916667
AK_68_AC_26,HABIL,16,26213,5,1.333333333,0,3.041666667,38.20833333,4.291666667,25.54166667,29.41666667,22.375,15.70833333,8.75,1.333333333,54.04166667,26.75,879.6666667,220.7916667,1331.25
AK_68_AC_26,HABIL,16,26213,6,0.125,0,4.166666667,54.04166667,7.375,35.04166667,50.45833333,29.20833333,21.54166667,2.75,0.25,79.83333333,33.04166667,1636.291667,599.375,2553.5
AK_68_AC_26,HABIL,16,26213,7,0,0,5.916666667,62.29166667,7.416666667,38.33333333,49.5,33.16666667,22.58333333,1.166666667,0,50.04166667,31.33333333,1944.791667,775.5833333,3022.125
AK_68_AC_26,HABIL,16,26213,8,0.875,0,5.708333333,61.33333333,8.958333333,40.25,44.20833333,38.5,27.70833333,2.125,0.208333333,40.16666667,31.54166667,1923.541667,450.5,2675.625
AK_68_AC_26,HABIL,16,26213,9,0.125,0,5.333333333,52.29166667,7.333333333,37.29166667,40.04166667,48.125,31.25,3.25,0.083333333,19.375,26.70833333,1846.666667,349.875,2467.75
AK_68_AC_26,HABIL,16,26213,10,1.041666667,0,5.166666667,51.20833333,7.416666667,37.25,36.75,51,29.91666667,6.5,0.75,16.16666667,21.83333333,1690.583333,321.7083333,2277.291667
AK_68_AC_26,HABIL,16,26213,11,1.291666667,0,4.875,50.70833333,6.25,32.54166667,37.45833333,54.625,32.875,7.625,0.625,19.33333333,22.20833333,1713.583333,304.7916667,2288.791667
AK_68_AC_26,HABIL,16,26213,12,0.958333333,0,4.166666667,48.625,5.708333333,33.79166667,37.95833333,47.875,26.25,4.666666667,0.583333333,25.375,24.54166667,1724.875,295.9583333,2281.333333
AK_68_AC_26,HABIL,16,26213,13,1.541666667,0,4,45.83333333,5.208333333,31.20833333,36.875,45.54166667,25.20833333,6.25,0.833333333,29.95833333,21.25,1708.166667,284.5833333,2246.458333
AK_68_AC_26,HABIL,16,26213,14,1.25,0,3.5,49.45833333,3.958333333,32.08333333,35.54166667,56.875,24.25,6.958333333,0.708333333,35.45833333,20.41666667,1835.125,318.0833333,2423.666667
AK_68_AC_26,HABIL,16,26213,15,1.291666667,0,3.666666667,52.375,4,33.04166667,34.41666667,57.95833333,28.33333333,5.708333333,1.208333333,46.08333333,22.91666667,1633.75,336.7916667,2261.541667
AK_68_AC_26,HABIL,16,26213,16,0.875,0,4.083333333,47.625,6.083333333,30.625,33.95833333,53.70833333,28,4.375,0.458333333,50.5,21.75,1626.791667,382.4166667,2291.25
AK_68_AC_26,HABIL,16,26213,17,0.083333333,0,5.25,51.25,6.875,33.66666667,35.83333333,45.33333333,24.45833333,2,0.25,49.58333333,21.125,1833.625,639.9583333,2749.291667
AK_68_AC_26,HABIL,16,26213,18,0,0,5.125,48.70833333,6.208333333,37.33333333,38.91666667,39.54166667,18.875,2.333333333,0,30.75,18.04166667,1671.708333,485.9166667,2403.458333
AK_68_AC_26,HABIL,16,26213,19,0.541666667,0,4.916666667,37,7.125,33.08333333,33.70833333,30.70833333,10.25,4.583333333,0.291666667,20.83333333,16.04166667,1616.666667,282.4583333,2098.208333
AK_68_AC_26,HABIL,16,26213,20,0.708333333,0,5.375,28.41666667,6.5,34.33333333,30.5,19.5,6.625,1.583333333,0.833333333,16.45833333,11.41666667,1492.708333,211.8333333,1866.791667
AK_68_AC_26,HABIL,16,26213,21,0.458333333,0,4.5,21.75,6.791666667,31.66666667,24.29166667,12.125,4.083333333,1.708333333,0.208333333,12.75,10.79166667,1147,245.0416667,1523.166667
AK_68_AC_26,HABIL,16,26213,22,0.458333333,0,4.791666667,15.41666667,6,26.875,16.45833333,6.958333333,3.5,0.791666667,0.333333333,13.83333333,5.583333333,664.3333333,175.0416667,940.375
AK_68_AC_26,HABIL,16,26213,23,0.541666667,0,1.708333333,5.375,1.833333333,17.58333333,4.666666667,5,2.083333333,1.541666667,0.75,6.166666667,2.208333333,303.1666667,43.70833333,396.3333333